source_work_id,canonical_document_id,action,reason
OL17618370W,OL17618370W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL44556550W,OL17618370W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42393248W,OL42393248W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42422593W,OL42393248W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42428179W,OL42393248W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42393358W,OL42393358W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42422646W,OL42393358W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42398580W,OL42428329W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42428329W,OL42428329W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42401118W,OL42405205W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42405205W,OL42405205W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42402863W,OL42425799W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42425799W,OL42425799W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42402870W,OL42425805W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42425805W,OL42425805W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42402917W,OL42402917W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42427243W,OL42402917W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42406613W,OL42406613W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42429273W,OL42406613W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42406970W,OL42425815W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42425815W,OL42425815W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42540112W,OL42546384W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42546384W,OL42546384W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL42547628W,OL45911232W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL45911232W,OL45911232W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL44553832W,OL44553835W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL44553835W,OL44553835W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL44561161W,OL45148113W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
OL45148113W,OL45148113W,consolidated_edition_family,"Reviewed matching author/title/edition family; one training example, all source IDs retained."
