document_id,old_title,old_subtitle,new_title,new_subtitle,source
OL13806374W,Start with why,,Start with Why,The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,https://openlibrary.org/books/OL38790674M.json
OL15134775W,Boundaries,"when to say yes, how to say no to take control of your life",Boundaries,"When to Say Yes, How to Say No, to Take Control of Your Life",https://openlibrary.org/books/OL48607538M.json
OL15168112W,Rework,,ReWork,,https://openlibrary.org/books/OL24314072M.json
OL15399118W,Anatomy,descriptive and surgical,Anatomy descriptive and surgical.,descriptive and surgical,https://openlibrary.org/books/OL22137949M.json
OL15992072W,"Thinking, fast and slow",,"Thinking, Fast and Slow",,https://openlibrary.org/books/OL56034889M.json
OL16336633W,Fifty Shades of Grey,,Fifty Shades of Grey,Book One of the Fifty Shades Trilogy (Fifty Shades of Grey,https://openlibrary.org/books/OL55200778M.json
OL17102197W,You Are a Badass,,You Are a Badass®,How to Stop Doubting Your Greatness and Start Living an Awesome Life,https://openlibrary.org/books/OL49788850M.json
OL17618370W,Clean Code,A Handbook of Agile Software Craftsmanship,Clean code,A Handbook of Agile Software Craftsmanship,https://openlibrary.org/books/OL16900934M.json
OL17798838W,Dog Man,A Tale of Two Kitties,Dog Man,a Tale of Two Kitties,https://openlibrary.org/books/OL53338957M.json
OL17930368W,Atomic Habits,,Atomic Habits,an Easy and Proven Way to Build Good Habits and Break Bad Ones,https://openlibrary.org/books/OL60898952M.json
OL1826387W,Introductory Mathematical Analysis,,"Introductory mathematical analysis for business, economics, and the life and social sciences",Student's solutions manual,https://openlibrary.org/books/OL31885032M.json
OL1827302W,Microbiology,an introduction,Microbiology,An Introduction,https://openlibrary.org/books/OL40392025M.json
OL1878267W,Emotional Intelligence,,Emotional Intelligence,Why It Can Matter More Than IQ,https://openlibrary.org/books/OL48607080M.json
OL18819818W,Never Split the Difference,,Never Split the Difference,Negotiating As If Your Life Depended on It,https://openlibrary.org/books/OL33545579M.json
OL19552275W,Brief Answers to the Big Questions,,Brief answers to the big questions,,https://openlibrary.org/books/OL26967814M.json
OL1974548W,Into Thin Air,A Personal Account of the Mt. Everest Disaster,Into Thin Air Flr,A Personal Account of the Mt. Everest Disaster,https://openlibrary.org/books/OL50499509M.json
OL1983087W,Biology,,Biology,concepts & connections,https://openlibrary.org/books/OL22231445M.json
OL1984422W,Physics for scientists and engineers,,"Physics for Scientists and Engineers, Volume 2C",Elementary Modern Physics,https://openlibrary.org/books/OL7834703M.json
OL20033244W,Ego is the Enemy,,Ego Is the Enemy,The Fight to Master Our Greatest Opponent,https://openlibrary.org/books/OL29344995M.json
OL2003465W,Mindset,,Mindset,How You Can Fulfill Your Potential,https://openlibrary.org/books/OL30135388M.json
OL2010879W,"Rich Dad, Poor Dad",,"Rich Dad, Poor Dad",Financial Education Essentials,https://openlibrary.org/books/OL55564248M.json
OL21237606W,Think Like a Monk,,Think Like a Monk,The Secret of How to Harness the Power of Positivity and Be Happy Now,https://openlibrary.org/books/OL35548009M.json
OL21640039W,The Psychology of Money,,The Psychology of Money,"Timeless lessons on wealth, greed, and happiness",https://openlibrary.org/books/OL51726888M.json
OL27203W,The Four Agreements,,The four agreements,,https://openlibrary.org/books/OL16650876M.json
OL273184W,The Intelligent Investor,,The Intelligent Investor,The Definitive Book on Value Investing,https://openlibrary.org/books/OL62257186M.json
OL27634W,Angela's Ashes,,Angela's ashes,a memoir,https://openlibrary.org/books/OL24938413M.json
OL2784125W,Learning Python,,Learning Python,Powerful Object-Oriented Programming,https://openlibrary.org/books/OL57549797M.json
OL2896994W,Artificial intelligence,A modern approach,Artificial intelligence,a modern approach,https://openlibrary.org/books/OL1110673M.json
OL2897798W,Watchmen,,WatchMen,,https://openlibrary.org/books/OL58640135M.json
OL3259254W,The Structure of Scientific Revolutions,,The structure of scientific revolutions,,https://openlibrary.org/books/OL60299936M.json
OL3486275W,Good to Great,,Good to Great,Why Some Companies Make the Leap... and Others Don't,https://openlibrary.org/books/OL7293515M.json
OL42393112W,Race to the North Pole : Peary vs. Cook,,Race to the North Pole : Peary vs. Cook,Band 16/Sapphire,https://openlibrary.org/books/OL57515982M.json
OL42393358W,Little Chunkies : Baby Animals,,Little Chunkies : Baby Animals,With Adorable Animals to Touch and Discover!,https://openlibrary.org/books/OL57516333M.json
OL42398073W,Rough Guide to Ecuador and the Galapagos,,Rough Guide to Ecuador and the Galapagos,Travel Guide with EBook,https://openlibrary.org/books/OL57522688M.json
OL42398125W,Nature,,Nature,Discover the World's Wonderful Habitats,https://openlibrary.org/books/OL57572032M.json
OL42400201W,New ERA of Comparison in Biblical Studies,,New ERA of Comparison in Biblical Studies,Case Studies in Applied Methodology,https://openlibrary.org/books/OL57525721M.json
OL42401118W,AI and Data Revolution,,AI and Data Revolution,Understanding the New Data Landscape,https://openlibrary.org/books/OL57527081M.json
OL42402604W,Penguin Readers Level 4,,Penguin Readers Level 4,I Capture the Castle,https://openlibrary.org/books/OL57529216M.json
OL42402863W,I Like Ants,,I Like Ants,Level 3,https://openlibrary.org/books/OL57529605M.json
OL42402906W,Montgomery vs Rommel at el Agheila 1942,,Montgomery vs Rommel at el Agheila 1942,Duel at the Gates of Egypt,https://openlibrary.org/books/OL57529671M.json
OL42402917W,5 Facts a Day Science,,5 Facts a Day Science,A Little Bit of Learning Every Day,https://openlibrary.org/books/OL57529692M.json
OL42405205W,AI and Data Revolution,,AI and Data Revolution,Understanding the New Data Landscape,https://openlibrary.org/books/OL57533233M.json
OL42405915W,Adventure,,Adventure,"Violent Borders, Illegal Migration, and the Uncertain Quest for Life in Morocco",https://openlibrary.org/books/OL60829459M.json
OL42406640W,Penguin Readers Level 5,,Penguin Readers Level 5,Ashes in the Snow,https://openlibrary.org/books/OL57535442M.json
OL42406647W,Penguin Readers Level 5,,Penguin Readers Level 5,This Summer's Secrets,https://openlibrary.org/books/OL57535455M.json
OL42406861W,Penguin Readers Level 5,,Penguin Readers Level 5,We'll Always Have Summer,https://openlibrary.org/books/OL57535820M.json
OL42406970W,Fuzz Bug,,Fuzz Bug,Level 2B,https://openlibrary.org/books/OL57535996M.json
OL42407584W,Plant Power,,Plant Power,The Essential Plant Food Guide to Enrich Your Health,https://openlibrary.org/books/OL57536943M.json
OL42409924W,Integrity and Sustainability in Sport,,Integrity and Sustainability in Sport,"Business, Environmental and Social Goals",https://openlibrary.org/books/OL57540821M.json
OL42410577W,Penguin Readers Level 4,,Penguin Readers Level 4,It's Not Summer Without You,https://openlibrary.org/books/OL57541908M.json
OL42414001W,Nature,,Nature,Fascinating Facts You Never Knew about the Natural World!,https://openlibrary.org/books/OL57611432M.json
OL42416767W,Drink Water and Mind Your Business,,Drink Water and Mind Your Business,A Black Woman's Guide to Unlearning the BS and Healing Your Self-Esteem,https://openlibrary.org/books/OL57553008M.json
OL42416954W,Penguin Readers Level 5,,Penguin Readers Level 5,after You,https://openlibrary.org/books/OL57553344M.json
OL42417170W,India,,India,A Short History,https://openlibrary.org/books/OL57553742M.json
OL42419347W,Ikigai,,Ikigai,Japanese Words to Live By,https://openlibrary.org/books/OL57557924M.json
OL42422646W,Little Chunkies : Baby Animals,,Little Chunkies : Baby Animals,With Adorable Animals to Touch and Discover!,https://openlibrary.org/books/OL57562927M.json
OL42422851W,Moon,,Moon,Our Nearest Neighbor,https://openlibrary.org/books/OL57563200M.json
OL42423280W,Slither,How Nature’s Most Maligned Creatures Illuminate Our World,Slither,How Nature's Most Maligned Creatures Illuminate Our World,https://openlibrary.org/books/OL57563724M.json
OL42425799W,I Like Ants,,I Like Ants,Level 3,https://openlibrary.org/books/OL57567205M.json
OL42425815W,Fuzz Bug,,Fuzz Bug,Level 2B,https://openlibrary.org/books/OL57567231M.json
OL42427243W,5 Facts a Day Science,,5 Facts a Day Science,A Little Bit of Learning Every Day,https://openlibrary.org/books/OL57569288M.json
OL42428943W,Beavers,,Beavers,Freshwater Engineers,https://openlibrary.org/books/OL57571985M.json
OL42430823W,Sharks,,Sharks,Fluency Boost,https://openlibrary.org/books/OL57574553M.json
OL42443133W,Adventure,,Adventure,Book 115,https://openlibrary.org/books/OL57592309M.json
OL42454611W,Bioremediation of Environmental Toxicants,,Bioremediation of Environmental Toxicants,"Toxicants, Sources, Mechanism, Impact on Human Health, and Bioremediation Approaches",https://openlibrary.org/books/OL57608760M.json
OL42541787W,Electromagnetic Heterostructures,,Electromagnetic Heterostructures,Background and Calculation Methods,https://openlibrary.org/books/OL57743610M.json
OL42543056W,Celebrating First Nations Languages and Language Learning in Australian Schools,,Celebrating First Nations Languages and Language Learning in Australian Schools,"Stories Across Generations of Language Activism, Advocacy and Allyship",https://openlibrary.org/books/OL57748459M.json
OL42545432W,Kant and the Path of German Idealism,,Kant and the Path of German Idealism,Competing Accounts of Cognition,https://openlibrary.org/books/OL57750167M.json
OL42546175W,Plant Power,,Plant Power,The Importance of Plants in Our World,https://openlibrary.org/books/OL57751496M.json
OL42554087W,Cyril of Alexandria : Against Julian,,Cyril of Alexandria : Against Julian,Introduction and Translation,https://openlibrary.org/books/OL57764603M.json
OL42560089W,Preparing Culturally Informed Educators,,Preparing Culturally Informed Educators,Examining Complexities in Practice,https://openlibrary.org/books/OL57772193M.json
OL44541409W,Artificial Intelligence,,Artificial Intelligence,A Guide for Thinking Humans,https://openlibrary.org/books/OL60822928M.json
OL44542750W,Philosophy As a Way of Life : New Research Directions,,Philosophy As a Way of Life : New Research Directions,New Research Directions,https://openlibrary.org/books/OL60824736M.json
OL44545182W,Artificial Intelligence,,Artificial Intelligence,Shaping the Future of Innovation,https://openlibrary.org/books/OL60828063M.json
OL44545450W,New Cambridge History of the English Language : Volume 2,,New Cambridge History of the English Language : Volume 2,"Documentation, Sources of Data and Modelling",https://openlibrary.org/books/OL60833511M.json
OL44552650W,"Arabic Writing Tradition, an Historical Survey, Volume 11",,"Arabic Writing Tradition, an Historical Survey, Volume 11",Mathematical Geography and Cartography in Islam and Their Legacy in the West Part 2,https://openlibrary.org/books/OL60839450M.json
OL44553832W,"Data Analysis and Related Applications, Volume 5",,"Data Analysis and Related Applications, Volume 5","Models, Methods and Techniques",https://openlibrary.org/books/OL60841391M.json
OL44553835W,"Data Analysis and Related Applications, Volume 5",,"Data Analysis and Related Applications, Volume 5","Models, Methods and Techniques",https://openlibrary.org/books/OL60841394M.json
OL44555921W,AI-Based Image and Video Coding,,AI-Based Image and Video Coding,"Methods, Standards, and Applications",https://openlibrary.org/books/OL60844988M.json
OL44556550W,Clean Code,,Clean Code,A Handbook of Agile Software Craftsmanship,https://openlibrary.org/books/OL60846175M.json
OL44561124W,"Anglicanism, Missions and Empire",,"Anglicanism, Missions and Empire",The Eighteenth and Nineteenth Centuries,https://openlibrary.org/books/OL60854847M.json
