document_id,title,subtitle,first_sentence,subjects,ddc_candidates,languages,author_keys,edition_keys,source,query,source_page,retrieved_at,label_provenance,ddc_original_candidates,correction_evidence,ddc_valid_candidates,ddc_invalid_candidates,ddc_full,label_level_1,label_level_2,label_level_3,label_status,input_kind,text_without_subjects,subjects_clean,text_with_subjects,text_hash,group_id,exclusion_reason,reviewer_ddc,reviewer_evidence,reviewer_notes,reviewer_status,reviewer_main_class,reviewer,review_scope,reviewed_at
OL44560737W,Integrating Advanced Technologies for Enhanced Security and Efficiency,,,,"[""005.82""]","[""eng""]","[""OL8006822A"", ""OL7971692A"", ""OL7899590A"", ""OL8272272A""]","[""OL60854081M""]",https://openlibrary.org/search.json,ddc:0* AND language:eng,3,2026-09-06T14:56:48.094462+00:00,all_returned_candidates,"[""005.82""]",,"[""005.82""]",[],005.82,000,000,005,single_code,structured_metadata,Integrating Advanced Technologies for Enhanced Security and Efficiency,,Integrating Advanced Technologies for Enhanced Security and Efficiency,e8547c72f364ba602747830d705b4f806178c028b40c6528a463a138f054b704,group_0000233,,,https://openlibrary.org/works/OL44560737W.json ; https://openlibrary.org/books/OL60854081M.json ; https://link.springer.com/book/10.1007/978-3-031-91798-1,"Publisher describes cybersecurity, AI threat detection and secure systems. Computing is supported; the exact 005.82 assignment is not independently certified.",supported_L1,000,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371409+00:00
OL44555921W,AI-Based Image and Video Coding,,,,"[""006.6""]","[""eng""]","[""OL5082071A""]","[""OL60844988M""]",https://openlibrary.org/search.json,ddc:0* AND language:eng,5,2026-09-06T14:56:49.985517+00:00,all_returned_candidates,"[""006.6""]",,"[""006.6""]",[],006.6,000,000,006,single_code,structured_metadata,AI-Based Image and Video Coding,,AI-Based Image and Video Coding,659d6d77877b2b79b177f1ff762712523e33d5d466e8e84cb6ab2a14dc682624,group_0000404,,,https://openlibrary.org/works/OL44555921W.json ; https://openlibrary.org/books/OL60844988M.json,Image and video coding using AI fits computing. The source title and edition label agree at L1; no description was returned.,plausible_L1,000,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371613+00:00
OL38083554W,Banned Together,Our Fight for Readers' Rights,,Children's fiction Nonfiction Short Stories Anthologies Books About Books Essays Poetry Banned Books LGBT Politics,"[""025.213""]","[""eng""]","[""OL6839668A"", ""OL7115206A"", ""OL24243A"", ""OL1482659A"", ""OL7541562A"", ""OL7610715A"", ""OL7644866A"", ""OL5079014A"", ""OL7536511A"", ""OL7121321A"", ""OL7906564A"", ""OL7521471A"", ""OL7540384A"", ""OL2947564A"", ""OL3132444A""]","[""OL51741748M""]",https://openlibrary.org/search.json,ddc:0* AND language:eng,1,2026-09-06T14:56:45.256685+00:00,all_returned_candidates,"[""025.213""]",,"[""025.213""]",[],025.213,000,020,025,single_code,structured_metadata,Banned Together. Our Fight for Readers' Rights,Children's fiction Nonfiction Short Stories Anthologies Books About Books Essays Poetry Banned Books LGBT Politics,Banned Together. Our Fight for Readers' Rights Subjects: Children's fiction Nonfiction Short Stories Anthologies Books About Books Essays Poetry Banned Books LGBT Politics,06d45a42d5541759f3a90f587cf9451cfbf01c54fbbdf4fd678b07f68288008f,group_0000035,,,https://openlibrary.org/works/OL38083554W.json ; https://openlibrary.org/books/OL51741748M.json,"The work description focuses on book bans, censorship and readers' rights. Its mixture of literary forms does not by itself justify moving it to literature.",supported_L1,000,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371615+00:00
OL44552650W,"Arabic Writing Tradition, an Historical Survey, Volume 11",,,,"[""016.4927""]","[""eng""]","[""OL8571307A"", ""OL583379A""]","[""OL60839450M""]",https://openlibrary.org/search.json,ddc:0* AND language:eng,3,2026-09-06T14:56:48.094462+00:00,all_returned_candidates,"[""016.4927""]",,"[""016.4927""]",[],016.4927,000,010,016,single_code,structured_metadata,"Arabic Writing Tradition, an Historical Survey, Volume 11",,"Arabic Writing Tradition, an Historical Survey, Volume 11",5f9bb1e8108ce4a89d3ccd68656a797b38a6ea3b857ae6dad55b8c03220a35ff,group_0000275,,,https://openlibrary.org/works/OL44552650W.json ; https://openlibrary.org/books/OL60839450M.json ; https://mitpressbookstore.mit.edu/book/9789004738638,The title belongs to a bibliographical survey of Arabic writings. A bibliography can belong in 000 even when its topic is science or language. Verify the exact 016.4927 code separately.,plausible_L1_check_detail,000,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371618+00:00
OL44560859W,Vernacular World of Pu Songling,,,,"[""028.90951""]","[""eng""]","[""OL16029396A""]","[""OL60854303M""]",https://openlibrary.org/search.json,ddc:0* AND language:eng,3,2026-09-06T14:56:48.094462+00:00,all_returned_candidates,"[""028.90951""]",,"[""028.90951""]",[],028.90951,000,020,028,single_code,structured_metadata,Vernacular World of Pu Songling,,Vernacular World of Pu Songling,f461146e2107d38b4dc9012b00d28b4547fe824bc556c8f04ce3835cd61a2980,group_0000238,,,https://openlibrary.org/works/OL44560859W.json ; https://openlibrary.org/books/OL60854303M.json ; https://repository.upenn.edu/server/api/core/bitstreams/963d13b2-3e7c-4531-bda7-7a60744cd2d2/content,"The available academic description concerns Pu Songling's vernacular writings, manuscripts and local textual culture. The boundary between reading culture in 000 and literary study in 800 needs cataloger review. Do not replace the existing code from the title alone.",unresolved_L1,,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371620+00:00
OL44550898W,Thomas Aquinas on the Immateriality of the Human Intellect,,,,"[""128.2""]","[""eng""]","[""OL3055714A""]","[""OL60836566M""]",https://openlibrary.org/search.json,ddc:1* AND language:eng,4,2026-09-06T14:56:55.055900+00:00,all_returned_candidates,"[""128.2""]",,"[""128.2""]",[],128.2,100,120,128,single_code,structured_metadata,Thomas Aquinas on the Immateriality of the Human Intellect,,Thomas Aquinas on the Immateriality of the Human Intellect,17525bf8d0a714fbfb7ce10428979867ad390228c0d56ec54c9db080750ebc8b,group_0000838,,,https://openlibrary.org/works/OL44550898W.json ; https://openlibrary.org/books/OL60836566M.json,Study of intellect and immateriality fits philosophy. Edition notation includes a slash; preserve the original and use the agreed broad class rather than discarding the entire record.,plausible_L1,100,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371621+00:00
OL44542750W,Philosophy As a Way of Life : New Research Directions,,,Philosophy,"[""190""]","[""eng""]","[""OL6489835A""]","[""OL60824736M""]",https://openlibrary.org/search.json,ddc:1* AND language:eng,4,2026-09-06T14:56:55.055900+00:00,all_returned_candidates,"[""190""]",,"[""190""]",[],190,100,190,190,single_code,structured_metadata,Philosophy As a Way of Life : New Research Directions,Philosophy,Philosophy As a Way of Life : New Research Directions Subjects: Philosophy,73c177fe430d00a48e264126adf1a356b9e4121a27bd0cbf24b6ab61d5e0cb95,group_0000855,,,https://openlibrary.org/works/OL44542750W.json ; https://openlibrary.org/books/OL60824736M.json,Title and source subject explicitly identify philosophy. No independent validation of decimal-level cataloging was performed.,plausible_L1,100,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371623+00:00
OL42409924W,Integrity and Sustainability in Sport,,,Recreation,"[""175""]","[""eng""]","[""OL10268740A"", ""OL14996962A""]","[""OL57540821M""]",https://openlibrary.org/search.json,ddc:1* AND language:eng,3,2026-09-06T14:56:53.491401+00:00,all_returned_candidates,"[""175""]",,"[""175""]",[],175,100,170,175,single_code,structured_metadata,Integrity and Sustainability in Sport,Recreation,Integrity and Sustainability in Sport Subjects: Recreation,4caffe3b4a265d7b5dd651ead84cec5f08a49964df6f1f78f4ecba5f0bdb0bae,group_0000745,,,https://openlibrary.org/works/OL42409924W.json ; https://openlibrary.org/books/OL57540821M.json ; https://www.routledge.com/Integrity-and-Sustainability-in-Sport-Business-Environmental-and-Social-Goals/Manoli-Konstantopoulos/p/book/9781032591377,Publisher frames sporting sustainability through integrity and ethics. A sports title can reasonably be classified under ethics; do not change to 700 just because it mentions sport.,supported_L1,100,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371625+00:00
OL42416767W,Drink Water and Mind Your Business,,,Psychology,"[""158.108996""]","[""eng""]","[""OL10033411A""]","[""OL57553008M""]",https://openlibrary.org/search.json,ddc:1* AND language:eng,2,2026-09-06T14:56:52.877066+00:00,all_returned_candidates,"[""158.108996""]",,"[""158.108996""]",[],158.108996,100,150,158,single_code,structured_metadata,Drink Water and Mind Your Business,Psychology,Drink Water and Mind Your Business Subjects: Psychology,ba2a43b59f19e1d003c07605bd22ba6ef856313ab2b3de312eb498213a92539e,group_0000668,,,https://openlibrary.org/works/OL42416767W.json ; https://openlibrary.org/books/OL57553008M.json,"The source assigns psychology, consistent with an applied-psychology/self-help classification. The title alone is insufficient to validate its detailed code.",plausible_L1,100,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371628+00:00
OL42545432W,Kant and the Path of German Idealism,,,Philosophy,"[""193""]","[""eng""]","[""OL13201531A""]","[""OL57750167M""]",https://openlibrary.org/search.json,ddc:1* AND language:eng,4,2026-09-06T14:56:55.055900+00:00,all_returned_candidates,"[""193""]",,"[""193""]",[],193,100,190,193,single_code,structured_metadata,Kant and the Path of German Idealism,Philosophy,Kant and the Path of German Idealism Subjects: Philosophy,e8b2318846da797729863e6ab7c15a4a55ae52c6a8311f8269218c4e151652d8,group_0000832,,,https://openlibrary.org/works/OL42545432W.json ; https://openlibrary.org/books/OL57750167M.json,"Kant and German idealism are explicitly the topic, consistent with philosophy.",plausible_L1,100,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371630+00:00
