document_id,title,ddc_main_class,source_url,normalized_title,group_size,different_main_classes,review_reason
OL13386549W,Nebraska,900,https://openlibrary.org/works/OL13386549W,nebraska,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42565210W,Nebraska,900,https://openlibrary.org/works/OL42565210W,nebraska,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL17618370W,Clean Code,000,https://openlibrary.org/works/OL17618370W,clean code,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL44556550W,Clean Code,000,https://openlibrary.org/works/OL44556550W,clean code,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL19714233W,Ikigai,600,https://openlibrary.org/works/OL19714233W,ikigai,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42419347W,Ikigai,100,https://openlibrary.org/works/OL42419347W,ikigai,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL2896994W,Artificial intelligence,000,https://openlibrary.org/works/OL2896994W,artificial intelligence,4,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL44541409W,Artificial Intelligence,000,https://openlibrary.org/works/OL44541409W,artificial intelligence,4,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL44545182W,Artificial Intelligence,000,https://openlibrary.org/works/OL44545182W,artificial intelligence,4,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45151992W,Artificial Intelligence,000,https://openlibrary.org/works/OL45151992W,artificial intelligence,4,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42393248W,DK Super Readers Pre-Level Marvel Spidey and His Amazing Friends Go Team Spidey!,400,https://openlibrary.org/works/OL42393248W,dk super readers pre level marvel spidey and his amazing friends go team spidey,3,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42422593W,DK Super Readers Pre-Level Marvel Spidey and His Amazing Friends Go Team Spidey!,400,https://openlibrary.org/works/OL42422593W,dk super readers pre level marvel spidey and his amazing friends go team spidey,3,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42428179W,DK Super Readers Pre-Level Marvel Spidey and His Amazing Friends Go Team Spidey!,400,https://openlibrary.org/works/OL42428179W,dk super readers pre level marvel spidey and his amazing friends go team spidey,3,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42393358W,Little Chunkies : Baby Animals,500,https://openlibrary.org/works/OL42393358W,little chunkies baby animals,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42422646W,Little Chunkies : Baby Animals,500,https://openlibrary.org/works/OL42422646W,little chunkies baby animals,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
